M -241,33,-795
A 80,204,1034
G -3.7,-5.1,-3.7
M -225,34,-798
A 85,169,1004
G 2.0,31.1,-26.1
M -232,34,-796
A 38,236,997
G -7.7,-39.3,5.2
M -244,58,-804
A 54,179,1031
G -7.7,-13.6,2.3
M -240,39,-804
A 0,242,1023
G -7.1,16.8,4.5
M -225,46,-801
A 19,127,1011
G -110.1,69.7,8.1
M -207,58,-837
A -96,140,1064
G -6.0,32.2,-2.5
M -178,78,-847
A -49,44,1011
G -15.0,-25.4,-2.6
M -174,76,-840
A -51,80,1026
G -0.5,-10.0,-5.1
M -171,67,-847
A -4,46,1001
G -2.8,-22.6,2.8
M -172,78,-843
A -20,75,1016
G -7.4,0.0,-1.4
M -174,69,-847
A -36,24,1036
G -9.0,22.2,-0.6
M -165,73,-853
A -98,46,1045
G -8.6,27.2,-0.2
M -175,87,-858
A -82,25,1042
G 0.5,-3.0,-7.7
M -160,78,-858
A -83,42,1024
G 18.0,12.8,-22.6
M -165,94,-862
A -60,63,1023
G 8.9,-15.1,-59.1
M -187,102,-859
A -119,95,1036
G 1.6,-2.7,-89.5
M -180,96,-852
A -35,57,995
G 7.4,-9.5,-104.1
M -202,148,-855
A 49,-5,998
G -7.0,-88.2,-91.4
M -201,133,-849
A -93,51,1066
G 5.3,9.1,-108.0
M -207,154,-856
A 68,20,1058
G 2.3,-52.0,-80.2
M -223,159,-853
A 4,3,1111
G 8.8,-26.2,-101.2
M -223,160,-847
A 118,82,959
G 31.4,-64.3,-86.3
M -241,189,-831
A 67,31,1141
G 17.7,-61.9,-77.5
M -238,177,-825
A 134,165,855
G 25.9,-8.1,-74.2
M -259,207,-822
A 68,128,1077
G 4.3,-53.8,-69.3
M -264,205,-822
A 83,206,907
G 7.0,68.1,-66.7
M -270,235,-820
A 9,149,1038
G -3.7,-0.1,-80.1
M -268,265,-817
A -9,197,958
G -13.6,7.0,-74.8
M -262,289,-817
A -6,87,1094
G -22.6,-12.1,-118.5
M -243,321,-817
A -11,65,972
G -24.9,16.3,-116.2
M -226,342,-819
A -19,100,1065
G -21.2,-5.8,-136.0
M -205,382,-811
A -81,191,979
G -0.9,-70.5,-137.3
M -172,402,-825
A 62,118,1083
G -7.0,-56.5,-80.8
M -168,415,-844
A 72,95,921
G 21.4,-85.5,-80.5
M -147,394,-853
A 191,139,1065
G -4.4,-43.9,-79.0
M -135,397,-855
A 258,166,958
G 0.8,-46.5,-72.2
M -127,390,-867
A 186,104,1019
G -17.9,-49.2,-58.2
M -114,391,-862
A 75,28,1068
G -12.0,-1.8,-42.9
M -97,394,-876
A 43,49,1055
G -6.6,28.8,-22.4
M -91,403,-873
A 5,115,957
G 0.6,33.3,-20.7
M -81,420,-861
A 56,60,1089
G 2.4,-0.3,-10.6
M -91,433,-849
A -17,123,1033
G -4.3,34.0,-14.2
M -78,441,-843
A 40,110,1073
G 0.9,19.8,-12.3
M -88,463,-844
A 37,143,989
G 7.7,-57.5,-9.8
M -87,445,-846
A 91,76,1033
G -4.5,13.3,1.9
M -82,441,-844
A -6,89,994
G 1.6,-30.5,-5.0
M -87,438,-856
A 16,94,1060
G 0.7,21.1,-7.5
M -82,448,-852
A 12,135,1038
G 0.4,-7.8,3.2
M -78,447,-843
A 23,108,1034
G 6.0,2.8,3.2
M -78,439,-838
A 4,128,1027
G 6.1,9.3,3.5
M -79,456,-843
A 48,135,1013
G 1.2,-10.5,9.3
M -91,450,-843
A 17,99,1056
G 9.6,-14.4,2.3
M -90,445,-844
A 36,130,1028
G 4.2,-25.4,-1.0
M -94,430,-855
A 31,126,1040
G 6.7,33.2,12.1
